<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,W,011214,000000,378.0000000
GDAX.BTC-USD,W,081214,000000,350.0000000
GDAX.BTC-USD,W,151214,000000,340.0000000
GDAX.BTC-USD,W,050115,000000,288.9900000
GDAX.BTC-USD,W,120115,000000,184.0000000
GDAX.BTC-USD,W,190115,000000,254.5300000
GDAX.BTC-USD,W,260115,000000,228.9900000
GDAX.BTC-USD,W,020215,000000,223.9900000
GDAX.BTC-USD,W,090215,000000,235.5400000
GDAX.BTC-USD,W,160215,000000,236.8300000
GDAX.BTC-USD,W,230215,000000,260.2400000
GDAX.BTC-USD,W,020315,000000,275.5000000
GDAX.BTC-USD,W,090315,000000,288.0000000
GDAX.BTC-USD,W,160315,000000,269.4500000
GDAX.BTC-USD,W,230315,000000,243.6900000
GDAX.BTC-USD,W,300315,000000,261.4700000
GDAX.BTC-USD,W,060415,000000,237.5500000
GDAX.BTC-USD,W,130415,000000,224.0300000
GDAX.BTC-USD,W,200415,000000,221.2700000
GDAX.BTC-USD,W,270415,000000,240.7800000
GDAX.BTC-USD,W,040515,000000,241.5700000
GDAX.BTC-USD,W,110515,000000,237.1200000
GDAX.BTC-USD,W,180515,000000,240.8200000
GDAX.BTC-USD,W,250515,000000,230.2100000
GDAX.BTC-USD,W,010615,000000,223.8900000
GDAX.BTC-USD,W,080615,000000,233.6000000
GDAX.BTC-USD,W,150615,000000,244.6600000
GDAX.BTC-USD,W,220615,000000,249.1100000
GDAX.BTC-USD,W,290615,000000,271.7400000
GDAX.BTC-USD,W,060715,000000,312.1600000
GDAX.BTC-USD,W,130715,000000,275.6100000
GDAX.BTC-USD,W,200715,000000,293.8900000
GDAX.BTC-USD,W,270715,000000,282.6200000
GDAX.BTC-USD,W,030815,000000,267.6300000
GDAX.BTC-USD,W,100815,000000,259.2000000
GDAX.BTC-USD,W,170815,000000,229.2100000
GDAX.BTC-USD,W,240815,000000,229.3900000
GDAX.BTC-USD,W,310815,000000,241.2900000
GDAX.BTC-USD,W,070915,000000,230.8200000
GDAX.BTC-USD,W,140915,000000,232.2400000
GDAX.BTC-USD,W,210915,000000,233.5800000
GDAX.BTC-USD,W,280915,000000,239.8700000
GDAX.BTC-USD,W,051015,000000,249.0200000
GDAX.BTC-USD,W,121015,000000,265.0000000
GDAX.BTC-USD,W,191015,000000,284.9700000
GDAX.BTC-USD,W,261015,000000,329.4600000
GDAX.BTC-USD,W,021115,000000,373.8300000
GDAX.BTC-USD,W,091115,000000,322.9300000
GDAX.BTC-USD,W,161115,000000,323.7100000
GDAX.BTC-USD,W,231115,000000,372.2400000
GDAX.BTC-USD,W,301115,000000,387.5500000
GDAX.BTC-USD,W,071215,000000,433.8300000
GDAX.BTC-USD,W,141215,000000,442.2200000
GDAX.BTC-USD,W,211215,000000,424.7200000
GDAX.BTC-USD,W,281215,000000,431.9100000
GDAX.BTC-USD,W,040116,000000,449.9900000
GDAX.BTC-USD,W,110116,000000,378.4600000
GDAX.BTC-USD,W,180116,000000,403.0500000
GDAX.BTC-USD,W,250116,000000,367.9500000
GDAX.BTC-USD,W,010216,000000,377.4900000
GDAX.BTC-USD,W,080216,000000,406.5900000
GDAX.BTC-USD,W,150216,000000,438.5600000
GDAX.BTC-USD,W,220216,000000,433.7300000
GDAX.BTC-USD,W,290216,000000,403.2400000
GDAX.BTC-USD,W,070316,000000,412.5200000
GDAX.BTC-USD,W,140316,000000,411.2700000
GDAX.BTC-USD,W,210316,000000,425.3000000
GDAX.BTC-USD,W,280316,000000,420.1600000
GDAX.BTC-USD,W,040416,000000,423.4000000
GDAX.BTC-USD,W,110416,000000,431.0000000
GDAX.BTC-USD,W,180416,000000,464.4600000
GDAX.BTC-USD,W,250416,000000,456.9800000
GDAX.BTC-USD,W,020516,000000,462.7900000
GDAX.BTC-USD,W,090516,000000,461.4700000
GDAX.BTC-USD,W,160516,000000,442.4800000
GDAX.BTC-USD,W,230516,000000,525.2200000
GDAX.BTC-USD,W,300516,000000,575.1700000
GDAX.BTC-USD,W,060616,000000,677.8600000
GDAX.BTC-USD,W,130616,000000,768.7600000
GDAX.BTC-USD,W,200616,000000,638.5600000
GDAX.BTC-USD,W,270616,000000,663.5500000
GDAX.BTC-USD,W,040716,000000,652.4400000
GDAX.BTC-USD,W,110716,000000,680.0000000
GDAX.BTC-USD,W,180716,000000,661.0000000
GDAX.BTC-USD,W,250716,000000,626.9700000
GDAX.BTC-USD,W,010816,000000,595.1400000
GDAX.BTC-USD,W,080816,000000,574.9900000
GDAX.BTC-USD,W,150816,000000,581.2900000
GDAX.BTC-USD,W,220816,000000,575.4100000
GDAX.BTC-USD,W,290816,000000,611.9200000
GDAX.BTC-USD,W,050916,000000,607.9400000
GDAX.BTC-USD,W,120916,000000,611.4000000
GDAX.BTC-USD,W,190916,000000,601.6700000
GDAX.BTC-USD,W,260916,000000,612.4000000
GDAX.BTC-USD,W,031016,000000,617.4200000
GDAX.BTC-USD,W,101016,000000,641.9200000
GDAX.BTC-USD,W,171016,000000,651.0400000
GDAX.BTC-USD,W,241016,000000,697.4100000
GDAX.BTC-USD,W,311016,000000,717.0200000
GDAX.BTC-USD,W,071116,000000,704.0100000
GDAX.BTC-USD,W,141116,000000,731.9900000
GDAX.BTC-USD,W,211116,000000,729.2400000
GDAX.BTC-USD,W,281116,000000,767.9900000
GDAX.BTC-USD,W,051216,000000,771.0500000
GDAX.BTC-USD,W,121216,000000,790.7200000
GDAX.BTC-USD,W,191216,000000,896.1200000
GDAX.BTC-USD,W,261216,000000,992.9500000
GDAX.BTC-USD,W,020117,000000,923.3300000
GDAX.BTC-USD,W,090117,000000,833.3100000
GDAX.BTC-USD,W,160117,000000,931.2200000
GDAX.BTC-USD,W,230117,000000,916.5400000
GDAX.BTC-USD,W,300117,000000,1016.3200000
GDAX.BTC-USD,W,060217,000000,1010.0000000
GDAX.BTC-USD,W,130217,000000,1059.8800000
GDAX.BTC-USD,W,200217,000000,1184.9100000
GDAX.BTC-USD,W,270217,000000,1278.9800000
GDAX.BTC-USD,W,060317,000000,1235.5800000
GDAX.BTC-USD,W,130317,000000,1019.4900000
GDAX.BTC-USD,W,200317,000000,973.0800000
GDAX.BTC-USD,W,270317,000000,1113.9900000
GDAX.BTC-USD,W,030417,000000,1210.9700000
GDAX.BTC-USD,W,100417,000000,1177.9900000
GDAX.BTC-USD,W,170417,000000,1251.9800000
GDAX.BTC-USD,W,240417,000000,1384.5500000
GDAX.BTC-USD,W,010517,000000,1609.5700000
GDAX.BTC-USD,W,080517,000000,1799.9900000
GDAX.BTC-USD,W,150517,000000,2057.0000000
GDAX.BTC-USD,W,220517,000000,2232.7800000
GDAX.BTC-USD,W,290517,000000,2521.3600000
GDAX.BTC-USD,W,050617,000000,2998.9800000
GDAX.BTC-USD,W,120617,000000,2515.2500000
GDAX.BTC-USD,W,190617,000000,2505.6100000
GDAX.BTC-USD,W,260617,000000,2516.6600000
GDAX.BTC-USD,W,030717,000000,2508.9900000
GDAX.BTC-USD,W,100717,000000,1911.7800000
GDAX.BTC-USD,W,170717,000000,2754.2800000
GDAX.BTC-USD,W,240717,000000,2723.9900000
GDAX.BTC-USD,W,310717,000000,3222.2200000
GDAX.BTC-USD,W,070817,000000,4060.4700000
GDAX.BTC-USD,W,140817,000000,4050.9900000
GDAX.BTC-USD,W,210817,000000,4340.1100000
GDAX.BTC-USD,W,280817,000000,4626.0500000
GDAX.BTC-USD,W,040917,000000,4251.3600000
GDAX.BTC-USD,W,110917,000000,3650.0100000
GDAX.BTC-USD,W,180917,000000,3669.0100000
GDAX.BTC-USD,W,250917,000000,4394.8100000
GDAX.BTC-USD,W,021017,000000,4603.4900000
GDAX.BTC-USD,W,091017,000000,5693.7000000
GDAX.BTC-USD,W,161017,000000,6005.0500000
GDAX.BTC-USD,W,231017,000000,6140.0100000
GDAX.BTC-USD,W,301017,000000,7392.0000000
GDAX.BTC-USD,W,061117,000000,5886.3500000
GDAX.BTC-USD,W,131117,000000,8031.8200000
GDAX.BTC-USD,W,201117,000000,9401.1100000
GDAX.BTC-USD,W,271117,000000,11290.0000000
GDAX.BTC-USD,W,041217,000000,15290.0100000
GDAX.BTC-USD,W,111217,000000,19378.9900000
GDAX.BTC-USD,W,181217,000000,14221.9400000
GDAX.BTC-USD,W,251217,000000,13863.1300000
GDAX.BTC-USD,W,010118,000000,16174.2200000
GDAX.BTC-USD,W,080118,000000,13656.2300000
GDAX.BTC-USD,W,150118,000000,11518.1700000
GDAX.BTC-USD,W,220118,000000,11536.0000000
GDAX.BTC-USD,W,290118,000000,8167.9100000
GDAX.BTC-USD,W,050218,000000,8072.9900000
GDAX.BTC-USD,W,120218,000000,10380.0400000
GDAX.BTC-USD,W,190218,000000,9595.4200000
GDAX.BTC-USD,W,260218,000000,11469.9000000
GDAX.BTC-USD,W,050318,000000,9533.8800000
GDAX.BTC-USD,W,120318,000000,8192.0000000
GDAX.BTC-USD,W,190318,000000,8453.0000000
GDAX.BTC-USD,W,260318,000000,6816.0100000
GDAX.BTC-USD,W,020418,000000,7020.0100000
GDAX.BTC-USD,W,090418,000000,8355.2500000
GDAX.BTC-USD,W,160418,000000,8795.0100000
GDAX.BTC-USD,W,230418,000000,9389.0100000
GDAX.BTC-USD,W,300418,000000,9600.0000000
GDAX.BTC-USD,W,070518,000000,8686.1000000
GDAX.BTC-USD,W,140518,000000,8516.8600000
GDAX.BTC-USD,W,210518,000000,7346.6400000
GDAX.BTC-USD,W,280518,000000,7706.3700000
GDAX.BTC-USD,W,040618,000000,6770.3100000
GDAX.BTC-USD,W,110618,000000,6447.1600000
GDAX.BTC-USD,W,180618,000000,6149.9900000
GDAX.BTC-USD,W,250618,000000,6349.5000000
GDAX.BTC-USD,W,020718,000000,6701.9700000
GDAX.BTC-USD,W,090718,000000,6348.7300000
GDAX.BTC-USD,W,160718,000000,7397.8000000
GDAX.BTC-USD,W,230718,000000,8216.3400000
GDAX.BTC-USD,W,300718,000000,7030.0100000
GDAX.BTC-USD,W,060818,000000,6316.0100000
GDAX.BTC-USD,W,130818,000000,6489.5300000
GDAX.BTC-USD,W,200818,000000,6709.9800000
GDAX.BTC-USD,W,270818,000000,7295.0000000
GDAX.BTC-USD,W,030918,000000,6235.0100000
GDAX.BTC-USD,W,100918,000000,6498.0000000
GDAX.BTC-USD,W,170918,000000,6696.9900000
GDAX.BTC-USD,W,240918,000000,6605.0000000
GDAX.BTC-USD,W,011018,000000,6570.0000000
GDAX.BTC-USD,W,081018,000000,6183.4900000
GDAX.BTC-USD,W,151018,000000,6415.8800000
GDAX.BTC-USD,W,221018,000000,6403.6200000
GDAX.BTC-USD,W,291018,000000,6423.2800000
GDAX.BTC-USD,W,051118,000000,6357.6000000
GDAX.BTC-USD,W,121118,000000,5560.0000000
GDAX.BTC-USD,W,191118,000000,3936.6900000
GDAX.BTC-USD,W,261118,000000,4103.1900000
GDAX.BTC-USD,W,031218,000000,3531.1800000
GDAX.BTC-USD,W,101218,000000,3195.0000000
GDAX.BTC-USD,W,171218,000000,3944.9300000
GDAX.BTC-USD,W,241218,000000,3829.0000000
GDAX.BTC-USD,W,311218,000000,4040.9900000
GDAX.BTC-USD,W,070119,000000,3514.2400000
GDAX.BTC-USD,W,140119,000000,3536.1900000
GDAX.BTC-USD,W,210119,000000,3531.0200000
GDAX.BTC-USD,W,280119,000000,3414.7800000
GDAX.BTC-USD,W,040219,000000,3648.8400000
GDAX.BTC-USD,W,110219,000000,3625.0800000
GDAX.BTC-USD,W,180219,000000,3734.2200000
GDAX.BTC-USD,W,250219,000000,3786.9300000
GDAX.BTC-USD,W,040319,000000,3900.9200000
GDAX.BTC-USD,W,110319,000000,3967.0100000
GDAX.BTC-USD,W,180319,000000,3969.5200000
GDAX.BTC-USD,W,250319,000000,4094.9900000
GDAX.BTC-USD,W,010419,000000,5194.7900000
GDAX.BTC-USD,W,080419,000000,5164.2700000
GDAX.BTC-USD,W,150419,000000,5297.6400000
GDAX.BTC-USD,W,220419,000000,5155.0000000
GDAX.BTC-USD,W,290419,000000,5715.8600000
GDAX.BTC-USD,W,060519,000000,6979.7600000
GDAX.BTC-USD,W,130519,000000,8200.0000000
GDAX.BTC-USD,W,200519,000000,8731.7200000
GDAX.BTC-USD,W,270519,000000,8736.5500000
GDAX.BTC-USD,W,030619,000000,7634.5800000
GDAX.BTC-USD,W,100619,000000,8975.0000000
GDAX.BTC-USD,W,170619,000000,10833.0200000
GDAX.BTC-USD,W,240619,000000,10761.2600000
GDAX.BTC-USD,W,010719,000000,11474.4200000
GDAX.BTC-USD,W,080719,000000,10185.0300000
GDAX.BTC-USD,W,150719,000000,10590.7000000
GDAX.BTC-USD,W,220719,000000,9533.0000000
GDAX.BTC-USD,W,290719,000000,10977.5100000
GDAX.BTC-USD,W,050819,000000,11540.7600000
GDAX.BTC-USD,W,120819,000000,10315.4800000
GDAX.BTC-USD,W,190819,000000,10138.7200000
GDAX.BTC-USD,W,260819,000000,9766.5200000
GDAX.BTC-USD,W,020919,000000,10398.9700000
GDAX.BTC-USD,W,090919,000000,10304.4600000
GDAX.BTC-USD,W,160919,000000,10026.8000000
GDAX.BTC-USD,W,230919,000000,8052.4000000
GDAX.BTC-USD,W,300919,000000,7859.7900000
GDAX.BTC-USD,W,071019,000000,8282.9700000
GDAX.BTC-USD,W,141019,000000,8236.1200000
GDAX.BTC-USD,W,211019,000000,9548.8400000
GDAX.BTC-USD,W,281019,000000,9206.5200000
GDAX.BTC-USD,W,041119,000000,9032.2300000
GDAX.BTC-USD,W,111119,000000,8500.0100000
GDAX.BTC-USD,W,181119,000000,6908.6400000
GDAX.BTC-USD,W,251119,000000,7404.2700000
GDAX.BTC-USD,W,021219,000000,7520.0000000
GDAX.BTC-USD,W,091219,000000,7111.0000000
GDAX.BTC-USD,W,161219,000000,7513.0600000
GDAX.BTC-USD,W,231219,000000,7384.8900000
GDAX.BTC-USD,W,301219,000000,7355.4000000
GDAX.BTC-USD,W,060120,000000,8180.8100000
GDAX.BTC-USD,W,130120,000000,8697.5300000
GDAX.BTC-USD,W,200120,000000,8595.0000000
GDAX.BTC-USD,W,270120,000000,9323.5000000
GDAX.BTC-USD,W,030220,000000,10168.3500000
GDAX.BTC-USD,W,100220,000000,9921.0000000
GDAX.BTC-USD,W,170220,000000,9965.0100000
GDAX.BTC-USD,W,240220,000000,8522.3100000
GDAX.BTC-USD,W,020320,000000,8037.7600000
GDAX.BTC-USD,W,090320,000000,5345.3500000
GDAX.BTC-USD,W,160320,000000,5818.2500000
GDAX.BTC-USD,W,230320,000000,5877.2100000
GDAX.BTC-USD,W,300320,000000,6778.2500000
GDAX.BTC-USD,W,060420,000000,6908.1300000
GDAX.BTC-USD,W,130420,000000,7130.7100000
GDAX.BTC-USD,W,200420,000000,7706.4000000
GDAX.BTC-USD,W,270420,000000,8909.9500000
GDAX.BTC-USD,W,040520,000000,8729.8600000
GDAX.BTC-USD,W,110520,000000,9676.6300000
GDAX.BTC-USD,W,180520,000000,8715.7300000
GDAX.BTC-USD,W,250520,000000,9446.5700000
GDAX.BTC-USD,W,010620,000000,9750.1200000
GDAX.BTC-USD,W,080620,000000,9325.0000000
GDAX.BTC-USD,W,150620,000000,9286.1400000
GDAX.BTC-USD,W,220620,000000,9113.2400000
GDAX.BTC-USD,W,290620,000000,9074.3900000
GDAX.BTC-USD,W,060720,000000,9303.3700000
